Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese
STR_ZenGui_RaidAlarmTitle,"RAID ALARM STATION","RAID ALARM STATION","RAID ALARM STANICE","RAID-ALARMSTATION","РЕЙД-СИГНАЛЬНАЯ СТАНЦИЯ","NAJAZDOWA STACJA ALARMOWA","RAID RIASZTÓÁLLOMÁS","STAZIONE DI ALLARME RAID","ESTACIÓN DE ALARMA RAID","STATION D'ALARME RAID","RAID 警報站","RAID アラーム ステーション"
STR_ZenGui_RaidAlarmSubtitle,"Enter up to 3 Discord webhook URLs here. Click the buttons to paste/clear.","Enter up to 3 Discord webhook URLs here. Click the buttons to paste/clear.","Zde zadejte až 3 adresy URL webhooku DiscordKlepnutím na tlačítka vložíte/vymažete.","Geben Sie hier bis zu 3 Discord-Webhook-URLs einKlicken Sie auf die Schaltflächen zum Einfügen/Löschen.","Введите здесь до 3 URL-адресов веб-перехватчиков Discord.Нажмите кнопки, чтобы вставить/очистить.","Wpisz tutaj maksymalnie 3 adresy URL webhooków DiscordKliknij przyciski, aby wkleić/wyczyścić.","Adjon meg itt legfeljebb 3 Discord webhook URL-tKattintson a gombokra a beillesztéshez/törléshez.","Inserisci qui fino a 3 URL webhook DiscordFare clic sui pulsanti per incollare/cancellare.","Ingrese hasta 3 URL de webhook de Discord aquíHaga clic en los botones para pegar/borrar.","Entrez ici jusqu'à 3 URL de webhook DiscordCliquez sur les boutons pour coller/effacer.","此處輸入最多 3 個 Discord Webhook URL點選按鈕進行貼上/清除.","ここに最大 3 つの Discord Webhook URL を入力しますボタンをクリックして貼り付け/クリアします."
STR_ZenGui_RaidAlarmGuide,"GUIDE","GUIDE","PRŮVODCE","FÜHRUNG","ГИД","PRZEWODNIK","ÚTMUTATÓ","GUIDA","GUÍA","GUIDE","指導","ガイド"
STR_ZenGui_DiscordWebhook,"Webhook","Webhook","Webhook","Webhook","Вебхук","Webhook","Webhook","Webhook","gancho web","Webhook","網路鉤子","Webhook"
STR_ZenGui_RaidAlarmRotate,"Rotate","Rotate","Točit se","Drehen","Поворот","Obracać się","Forog","Ruotare","Girar","Tourner","旋轉","回転"
STR_ZenGui_RaidAlarmViewSettings,"Manage alarm","Manage alarm","Spravovat alarm","Alarm verwalten","Управление сигнализацией","Zarządzaj alarmem","Riasztás kezelése","Gestisci allarme","Administrar alarma","Gérer l'alarme","管理警報","アラームの管理"
STR_ZenGui_RaidAlarmBuild,"Build raid alarm","Build raid alarm","Sestavte nájezdový alarm","Raid-Alarm bauen","Построить рейдовую сигнализацию","Zbuduj alarm nalotowy","Raid riasztó építése","Costruisci un allarme anti-incursione","Construir alarma de incursión","Construire une alarme de raid","建立突襲警報","レイドアラームを構築する"
STR_CfgVehicles_ZenRaidAlarmStation0,"Raid Alarm Station","Raid Alarm Station","Raid Alarm Station","Überfallalarmstation","Станция рейдовой сигнализации","Stacja alarmowa napadu","Raid riasztó állomás","Stazione di allarme raid","Estación de alarma de incursión","Station d'alarme anti-raid","襲擊警報站","襲撃警報ステーション"
STR_CfgVehicles_ZenRaidAlarmStation1,"All I need is a Field Transceiver with a car battery attached to this rack with a Screwdriver, and I can be alerted via radio when someone attacks my base. If I find a Discord satellite uplink kit I can even be notified remotely!","All I need is a Field Transceiver with a car battery attached to this rack with a Screwdriver, and I can be alerted via radio when someone attacks my base. If I find a Discord satellite uplink kit I can even be notified remotely!","Vše, co potřebuji, je Field Transceiver s autobaterií připojenou k tomuto stojanu pomocí šroubováku a mohu být upozorněn rádiem, když někdo zaútočí na mou základnuPokud najdu satelitní uplink kit Discord, mohu být upozorněn i na dálku!","Alles, was ich brauche, ist ein Feldtransceiver mit einer Autobatterie, der mit einem Schraubenzieher an diesem Rack befestigt wird, und ich kann per Funk benachrichtigt werden, wenn jemand meine Basis angreiftWenn ich ein Discord-Satelliten-Uplink-Kit finde, kann ich sogar aus der Ferne benachrichtigt werden!","Все, что мне нужно, это полевой трансивер с автомобильным аккумулятором, прикрепленный к этой стойке с помощью отвертки, и я могу быть предупрежден по радио, когда кто-то атакует мою базу.Если я найду комплект спутниковой связи Discord, меня даже можно будет уведомить удаленно.!","Wszystko, czego potrzebuję, to nadajnik-odbiornik polowy z akumulatorem samochodowym przymocowanym do tego stojaka za pomocą śrubokręta i mogę zostać powiadomiony przez radio, gdy ktoś zaatakuje moją bazęJeśli znajdę zestaw do łączenia się z satelitą Discord, otrzymam nawet zdalne powiadomienie!","Csak egy Field Transceiverre van szükségem autóakkumulátorral, ami ehhez a rackhez csavarhúzóval van csatlakoztatva, és rádión értesíthetek, ha valaki megtámadja a bázisomat.Ha találok egy Discord műholdas uplink készletet, akár távolról is értesíthetek!","Tutto ciò di cui ho bisogno è un ricetrasmettitore da campo con una batteria per auto collegata a questo rack con un cacciavite e posso essere avvisato via radio quando qualcuno attacca la mia baseSe trovo un kit di uplink satellitare Discord posso essere avvisato anche da remoto!","Todo lo que necesito es un transceptor de campo con una batería de automóvil conectada a este bastidor con un destornillador, y puedo recibir alertas por radio cuando alguien ataque mi base.Si encuentro un kit de enlace ascendente satelital de Discord, incluso puedo recibir notificaciones de forma remota!","Tout ce dont j'ai besoin c'est d'un émetteur-récepteur de terrain avec une batterie de voiture fixée à ce support à l'aide d'un tournevis, et je peux être alerté par radio lorsque quelqu'un attaque ma base.Si je trouve un kit de liaison montante par satellite Discord, je peux même être averti à distance!","我所需要的只是一個帶有汽車電池的現場收發器，用螺絲起子連接到這個機架上，當有人攻擊我的基地時，我可以透過無線電收到警報如果我找到 Discord 衛星上行鏈路套件，我甚至可以收到遠端通知!","必要なのは、ドライバーを使用してこのラックに取り付けられた車のバッテリーを備えたフィールド トランシーバーだけです。誰かが私の基地を攻撃したときに無線で警告を受け取ることができますDiscord サテライト アップリンク キットを見つけた場合は、リモートから通知を受けることもできます!"
STR_CfgVehicles_ZenRaidAlarmRadar1,"If I attach this to my Raid Alarm Station with a Cable Reel, I'll be notified via Discord if my base is ever attacked.","If I attach this to my Raid Alarm Station with a Cable Reel, I'll be notified via Discord if my base is ever attacked.","Pokud toto připojím ke své Raid Alarm Station pomocí Cable Reel, budu upozorněn přes Discord, pokud bude moje základna někdy napadena","Wenn ich dies mit einer Kabeltrommel an meiner Raid-Alarmstation befestige, werde ich über Discord benachrichtigt, wenn meine Basis jemals angegriffen wird","Если я прикреплю это к своей станции рейдовой сигнализации с помощью кабельной катушки, я буду уведомлен через Discord, если моя база когда-либо подвергнется нападению.","Jeśli podłączę to do mojej stacji alarmowej za pomocą szpuli kablowej, zostanę powiadomiony przez Discord, jeśli moja baza zostanie kiedykolwiek zaatakowana","Ha kábeltekerccsel rögzítem a Raid Alarm Station-emhez, Discord-on keresztül értesítenek, ha a bázisomat megtámadják","Se lo collego alla mia stazione di allarme raid con un avvolgicavo, verrò avvisato tramite Discord se la mia base viene attaccata","Si conecto esto a mi estación de alarma Raid con un carrete de cable, se me notificará a través de Discord si mi base alguna vez es atacada.","Si je l'attache à ma station d'alarme Raid avec un enrouleur de câble, je serai averti via Discord si ma base est attaquée.","如果我用電纜捲軸將其連接到我的襲擊警報站，如果我的基地受到攻擊，我將透過 Discord 收到通知","これをケーブル リールで襲撃警報ステーションに取り付ければ、基地が攻撃された場合に Discord 経由で通知されます"
